agent,time,x,y,z
2,30,50.0,50.0,50.0
3,30,50.0,50.0,20.0
4,30,40.0,30.0,70.0
5,30,60.0,10.0,40.0
6,30,60.0,50.0,10.0
7,30,55.0,57.0,7.0
8,30,37.0,1.0,67.0
9,30,63.0,11.0,43.0
0,31,41.0,10.0,10.0
1,31,59.0,10.0,10.0
2,31,50.0,51.0,50.0
3,31,51.0,50.0,20.0
4,31,41.0,30.0,70.0
5,31,61.0,10.0,40.0
6,31,60.0,51.0,10.0
7,31,54.0,57.0,7.0
8,31,36.0,1.0,67.0
9,31,64.0,11.0,43.0
0,32,42.0,10.0,10.0
1,32,58.0,10.0,10.0
2,32,50.0,52.0,50.0
3,32,52.0,50.0,20.0
4,32,42.0,30.0,70.0
5,32,62.0,10.0,40.0
6,32,60.0,52.0,10.0
7,32,53.0,57.0,7.0
8,32,35.0,1.0,67.0
9,32,65.0,11.0,43.0
0,33,43.0,10.0,10.0
1,33,57.0,10.0,10.0
2,33,50.0,53.0,50.0
3,33,53.0,50.0,20.0
4,33,43.0,30.0,70.0
5,33,63.0,10.0,40.0
6,33,60.0,53.0,10.0
7,33,52.0,57.0,7.0
8,33,35.0,2.0,67.0
9,33,66.0,11.0,43.0
0,34,44.0,10.0,10.0
1,34,56.0,10.0,10.0
2,34,50.0,54.0,50.0
3,34,54.0,50.0,20.0
4,34,44.0,30.0,70.0
5,34,64.0,10.0,40.0
6,34,60.0,54.0,10.0
7,34,51.0,57.0,7.0
8,34,35.0,3.0,67.0
9,34,67.0,11.0,43.0
0,35,45.0,10.0,10.0
1,35,55.0,10.0,10.0
2,35,50.0,55.0,50.0
3,35,55.0,50.0,20.0
4,35,45.0,30.0,70.0
5,35,65.0,10.0,40.0
6,35,60.0,55.0,10.0
7,35,50.0,57.0,7.0
8,35,35.0,4.0,67.0
9,35,68.0,11.0,43.0
0,36,46.0,10.0,10.0
1,36,54.0,10.0,10.0
2,36,50.0,56.0,50.0
3,36,56.0,50.0,20.0
4,36,46.0,30.0,70.0
5,36,66.0,10.0,40.0
6,36,60.0,56.0,10.0
7,36,49.0,57.0,7.0
8,36,35.0,5.0,67.0
9,36,69.0,11.0,43.0
0,37,47.0,10.0,10.0
1,37,53.0,10.0,10.0
2,37,50.0,57.0,50.0
3,37,57.0,50.0,20.0
4,37,47.0,30.0,70.0
5,37,67.0,10.0,40.0
6,37,60.0,57.0,10.0
7,37,48.0,57.0,7.0
8,37,35.0,6.0,67.0
9,37,70.0,11.0,43.0
0,38,48.0,10.0,10.0
1,38,52.0,10.0,10.0
2,38,50.0,58.0,50.0
3,38,58.0,50.0,20.0
4,38,48.0,30.0,70.0
5,38,68.0,10.0,40.0
6,38,60.0,58.0,10.0
7,38,47.0,57.0,7.0
8,38,35.0,7.0,67.0
9,38,71.0,11.0,43.0
0,39,49.0,10.0,10.0
1,39,51.0,10.0,10.0
2,39,50.0,59.0,50.0
3,39,59.0,50.0,20.0
4,39,49.0,30.0,70.0
5,39,69.0,10.0,40.0
6,39,60.0,59.0,10.0
7,39,46.0,57.0,7.0
8,39,35.0,8.0,67.0
9,39,72.0,11.0,43.0
0,40,49.0,11.0,10.0
1,40,50.0,10.0,10.0
2,40,50.0,60.0,50.0
3,40,60.0,50.0,20.0
4,40,50.0,30.0,70.0
5,40,70.0,10.0,40.0
6,40,60.0,60.0,10.0
7,40,45.0,57.0,7.0
8,40,35.0,9.0,67.0
9,40,73.0,11.0,43.0
0,41,50.0,11.0,10.0
1,41,49.0,10.0,10.0
2,41,50.0,61.0,50.0
3,41,61.0,50.0,20.0
4,41,51.0,30.0,70.0
5,41,70.0,11.0,40.0
6,41,60.0,60.0,11.0
7,41,44.0,57.0,7.0
8,41,35.0,10.0,67.0
