agent,time,x,y,z,collision_risk,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
3,13.0,27.263557921088022,50.0,25.736442078911974,0.0,1.4071410441451142,0.0,1.4071410441451142,0.42214231324353196
4,13.0,19.17570528072535,33.824294719274654,66.17570528072535,0.0,1.1489258514275515,0.0,1.1489258514275515,0.344677755428265
5,13.0,33.71242711033299,14.370622536313887,41.092655634078476,0.0,1.790471622040852,0.0,1.790471622040852,0.5371414866122556
6,13.0,42.16449829538848,40.637382453212446,12.549529812849768,0.0,1.9339303850507406,0.0,1.9339303850507406,0.5801791155152255
7,13.0,77.59876746901809,53.32867706949634,11.4055875166044,0.0,1.390152803141796,0.0,1.390152803141796,0.4170458409425348
8,13.0,64.32961504750752,4.429807330949318,66.78563704181566,0.0,1.8882452158082108,0.0,1.8882452158082108,0.5664735647424668
9,13.0,38.450810834591906,16.41469908953388,42.45068270106178,0.0,1.6142339554623566,0.0,1.6142339554623566,0.4842701866387047
0,13.2,15.43367168572843,13.883164157135786,13.883164157135786,0.0,1.6497773064198646,0.0,1.6497773064198646,0.4949331919259601
1,13.2,84.56632831427157,13.883164157135786,13.883164157135786,0.0,1.64977730641987,0.0,1.64977730641987,0.49493319192596735
2,13.2,50.0,33.2,50.0,0.0,0.0,0.0,0.0,0.0
3,13.2,27.375253764296325,50.0,25.824746235703678,0.0,1.4287490579466662,0.0,1.4287490579466662,0.4286247173839994
4,13.2,19.31683584286422,33.88316415713578,66.11683584286422,0.0,1.1665687208171658,0.0,1.1665687208171658,0.3499706162451463
5,13.2,33.76945847552738,14.437901893869467,41.10947547346737,0.0,1.8179660481904703,0.0,1.8179660481904703,0.5453898144571387
6,13.2,42.19770155478194,40.6471940261893,12.58877610475719,0.0,1.963627759471951,0.0,1.963627759471951,0.5890883278415875
7,13.2,77.4849523260468,53.27216240914965,11.473405109020424,0.0,1.4114999460465696,0.0,1.4114999460465696,0.4234499838139716
8,13.2,64.28862440107638,4.4826042109929345,66.78233723681294,0.0,1.9172410502014008,0.0,1.9172410502014008,0.5751723150604207
9,13.2,38.53460208105754,16.498050482401556,42.44222676265492,0.0,1.6390220815238448,0.0,1.6390220815238448,0.4917066244571535
0,13.4,15.515932810006166,13.94203359499692,13.94203359499692,0.0,1.6747280915898224,0.0,1.6747280915898224,0.5024184274769469
1,13.4,84.48406718999384,13.942033594996916,13.942033594996916,0.0,1.674728091589818,0.0,1.674728091589818,0.5024184274769469
2,13.4,50.0,33.4,50.0,0.0,4.973799150320701e-15,0.0,4.973799150320701e-15,0.0
3,13.4,27.486949607504624,50.0,25.91305039249538,0.0,1.4503570717482153,0.0,1.4503570717482153,0.43510712152446435
4,13.4,19.457966405003084,33.942033594996914,66.05796640500309,0.0,1.1842115902067722,0.0,1.1842115902067722,0.35526347706203176
5,13.4,33.82648984072177,14.505181251425048,41.126295312856264,0.0,1.8454604743400809,0.0,1.8454604743400809,0.5536381423020227
6,13.4,42.2309048141754,40.657005599166155,12.628022396664614,0.0,1.9933251338931464,0.0,1.9933251338931464,0.5979975401679434
7,13.4,77.37113718307549,53.21564774880296,11.541222701436448,0.0,1.43284708895137,0.0,1.43284708895137,0.42985412668541273
