agent,time,x,y,z,original_x,original_y,original_z,distance,threshold,applied_force
2,4.8,10.0,10.0,4.8,10.0,10.0,4.8,12.250714264890844,-5.625357132445422,0.0
3,4.8,14.2,0.0,0.0,14.2,0.0,0.0,9.399999999999999,-4.199999999999999,0.0
0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,19.0,-9.0,0.0
1,5.0,5.0,19.0,0.0,5.0,19.0,0.0,19.0,-9.0,0.0
2,5.0,10.0,10.0,5.0,10.0,10.0,5.0,12.24744871391589,-5.623724356957945,0.0
3,5.0,14.0,0.0,0.0,14.0,0.0,0.0,9.0,-4.0,0.0
0,5.2,5.2,0.0,0.0,5.2,0.0,0.0,19.0,-9.0,0.0
1,5.2,5.2,19.0,0.0,5.2,19.0,0.0,19.0,-9.0,0.0
2,5.2,10.0,10.0,5.2,10.0,10.0,5.2,12.250714264890842,-5.625357132445421,0.0
3,5.2,13.8,0.0,0.0,13.8,0.0,0.0,8.600000000000001,-3.8000000000000007,0.0
0,5.4,5.4,0.0,0.0,5.4,0.0,0.0,19.0,-9.0,0.0
1,5.4,5.4,19.0,0.0,5.4,19.0,0.0,19.0,-9.0,0.0
2,5.4,10.0,10.0,5.4,10.0,10.0,5.4,12.260505699195281,-5.630252849597641,0.0
3,5.4,13.6,0.0,0.0,13.6,0.0,0.0,8.2,-3.5999999999999996,0.0
0,5.6,5.6,0.0,0.0,5.6,0.0,0.0,19.0,-9.0,0.0
1,5.6,5.6,19.0,0.0,5.6,19.0,0.0,19.0,-9.0,0.0
2,5.6,10.0,10.0,5.6,10.0,10.0,5.6,12.276807402578244,-5.638403701289122,0.0
3,5.6,13.4,0.0,0.0,13.4,0.0,0.0,7.800000000000001,-3.4000000000000004,0.0
0,5.8,5.8,0.0,0.0,5.8,0.0,0.0,19.0,-9.0,0.0
1,5.8,5.8,19.0,0.0,5.8,19.0,0.0,19.0,-9.0,0.0
2,5.8,10.0,10.0,5.8,10.0,10.0,5.8,12.299593489217438,-5.649796744608719,0.0
